time: 15/01/2020 - 10:19:33

Iter =  10000/ 20000, loss_seg = 0.0921 loss_adv = 0.0011, loss_weight = 0.0104, loss_D_s = 0.3019 loss_D_t = 0.8007
Iter =  10010/ 20000, loss_seg = 0.1423 loss_adv = 0.0014, loss_weight = 0.0104, loss_D_s = 0.3208 loss_D_t = 0.4367
Iter =  10020/ 20000, loss_seg = 0.2319 loss_adv = 0.0011, loss_weight = 0.0104, loss_D_s = 0.4926 loss_D_t = 0.6276
Iter =  10030/ 20000, loss_seg = 0.0991 loss_adv = 0.0011, loss_weight = 0.0104, loss_D_s = 0.4290 loss_D_t = 0.6202
Iter =  10040/ 20000, loss_seg = 0.1968 loss_adv = 0.0013, loss_weight = 0.0104, loss_D_s = 0.2107 loss_D_t = 0.4030
Iter =  10050/ 20000, loss_seg = 0.2711 loss_adv = 0.0015, loss_weight = 0.0104, loss_D_s = 0.5799 loss_D_t = 0.3518
Iter =  10060/ 20000, loss_seg = 0.1099 loss_adv = 0.0012, loss_weight = 0.0104, loss_D_s = 0.3799 loss_D_t = 0.4377
Iter =  10070/ 20000, loss_seg = 0.1574 loss_adv = 0.0012, loss_weight = 0.0103, loss_D_s = 0.3891 loss_D_t = 0.4559
Iter =  10080/ 20000, loss_seg = 0.1622 loss_adv = 0.0012, loss_weight = 0.0103, loss_D_s = 0.5644 loss_D_t = 0.5460
Iter =  10090/ 20000, loss_seg = 0.1103 loss_adv = 0.0011, loss_weight = 0.0103, loss_D_s = 0.3743 loss_D_t = 0.4665
Iter =  10100/ 20000, loss_seg = 0.1315 loss_adv = 0.0012, loss_weight = 0.0103, loss_D_s = 0.5991 loss_D_t = 0.9337
Iter =  10110/ 20000, loss_seg = 0.2444 loss_adv = 0.0012, loss_weight = 0.0103, loss_D_s = 0.4260 loss_D_t = 0.3955
Iter =  10120/ 20000, loss_seg = 0.1430 loss_adv = 0.0012, loss_weight = 0.0103, loss_D_s = 0.6324 loss_D_t = 0.4942
Iter =  10130/ 20000, loss_seg = 0.2256 loss_adv = 0.0014, loss_weight = 0.0103, loss_D_s = 0.2949 loss_D_t = 0.3527
Iter =  10140/ 20000, loss_seg = 0.1808 loss_adv = 0.0011, loss_weight = 0.0103, loss_D_s = 0.4113 loss_D_t = 0.5831
Iter =  10150/ 20000, loss_seg = 0.1045 loss_adv = 0.0011, loss_weight = 0.0103, loss_D_s = 0.3606 loss_D_t = 0.5287
Iter =  10160/ 20000, loss_seg = 0.1290 loss_adv = 0.0015, loss_weight = 0.0103, loss_D_s = 0.6981 loss_D_t = 0.2733
Iter =  10170/ 20000, loss_seg = 0.1210 loss_adv = 0.0012, loss_weight = 0.0102, loss_D_s = 0.3275 loss_D_t = 0.4959
Iter =  10180/ 20000, loss_seg = 0.1386 loss_adv = 0.0012, loss_weight = 0.0102, loss_D_s = 0.5433 loss_D_t = 0.4071
Iter =  10190/ 20000, loss_seg = 0.1181 loss_adv = 0.0011, loss_weight = 0.0102, loss_D_s = 0.6152 loss_D_t = 0.4908
Iter =  10200/ 20000, loss_seg = 0.3104 loss_adv = 0.0012, loss_weight = 0.0102, loss_D_s = 0.4848 loss_D_t = 0.4744
Iter =  10210/ 20000, loss_seg = 0.2218 loss_adv = 0.0013, loss_weight = 0.0102, loss_D_s = 0.4369 loss_D_t = 0.4504
