time: 16/01/2020 - 00:10:57

Iter =      0/ 50000, loss_seg = 13.2140 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6989 loss_D_t = 0.6876
Iter =     10/ 50000, loss_seg = 12.2735 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6986 loss_D_t = 0.6876
Iter =     20/ 50000, loss_seg = 11.2041 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6986 loss_D_t = 0.6880
Iter =     30/ 50000, loss_seg = 5.6186 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6977 loss_D_t = 0.6886
Iter =     40/ 50000, loss_seg = 5.0402 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6963 loss_D_t = 0.6899
Iter =     50/ 50000, loss_seg = 3.0188 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6946 loss_D_t = 0.6914
Iter =     60/ 50000, loss_seg = 5.3977 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6932 loss_D_t = 0.6929
Iter =     70/ 50000, loss_seg = 2.5295 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6907 loss_D_t = 0.6942
Iter =     80/ 50000, loss_seg = 3.5972 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6900 loss_D_t = 0.6953
Iter =     90/ 50000, loss_seg = 2.0139 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6876 loss_D_t = 0.6968
Iter =    100/ 50000, loss_seg = 2.0679 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6834 loss_D_t = 0.6986
Iter =    110/ 50000, loss_seg = 2.5953 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6861 loss_D_t = 0.6957
Iter =    120/ 50000, loss_seg = 3.4773 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6875 loss_D_t = 0.6968
Iter =    130/ 50000, loss_seg = 2.7200 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6854 loss_D_t = 0.6962
Iter =    140/ 50000, loss_seg = 1.4138 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6760 loss_D_t = 0.7053
Iter =    150/ 50000, loss_seg = 4.5754 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6742 loss_D_t = 0.7053
Iter =    160/ 50000, loss_seg = 1.5394 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6643 loss_D_t = 0.6908
Iter =    170/ 50000, loss_seg = 1.7512 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6553 loss_D_t = 0.7119
Iter =    180/ 50000, loss_seg = 5.9881 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6541 loss_D_t = 0.7296
Iter =    190/ 50000, loss_seg = 3.3154 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6547 loss_D_t = 0.6485
Iter =    200/ 50000, loss_seg = 2.8841 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6859 loss_D_t = 0.6963
Iter =    210/ 50000, loss_seg = 1.6076 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.5935 loss_D_t = 0.6986
Iter =    220/ 50000, loss_seg = 3.8076 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.6630 loss_D_t = 0.6228
Iter =    230/ 50000, loss_seg = 1.1735 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.6270 loss_D_t = 0.6395
Iter =    240/ 50000, loss_seg = 7.1798 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.7025 loss_D_t = 0.6877
Iter =    250/ 50000, loss_seg = 1.9926 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.6927 loss_D_t = 0.6147
Iter =    260/ 50000, loss_seg = 2.0074 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6190 loss_D_t = 0.6840
Iter =    270/ 50000, loss_seg = 6.1108 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6036 loss_D_t = 0.7479
Iter =    280/ 50000, loss_seg = 1.4391 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.6954 loss_D_t = 0.5894
Iter =    290/ 50000, loss_seg = 1.7182 loss_adv = 0.0006, loss_weight = 0.0200, loss_D_s = 0.4936 loss_D_t = 0.8151
Iter =    300/ 50000, loss_seg = 1.4257 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.7832 loss_D_t = 0.6312
Iter =    310/ 50000, loss_seg = 1.7647 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.6975 loss_D_t = 0.6088
Iter =    320/ 50000, loss_seg = 1.5954 loss_adv = 0.0006, loss_weight = 0.0200, loss_D_s = 0.5734 loss_D_t = 0.8351
Iter =    330/ 50000, loss_seg = 1.7027 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.7133 loss_D_t = 0.5878
Iter =    340/ 50000, loss_seg = 1.3804 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.5870 loss_D_t = 0.6478
Iter =    350/ 50000, loss_seg = 0.8789 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6520 loss_D_t = 0.7592
