time: 14/01/2020 - 17:55:18
###########   TRAINING STARTED  ############
Iter =      0/ 10000, loss_seg = 13.6522 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6955 loss_D_t = 0.6907
Iter =     10/ 10000, loss_seg = 7.7405 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6958 loss_D_t = 0.6906
Iter =     20/ 10000, loss_seg = 4.5578 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6953 loss_D_t = 0.6908
Iter =     30/ 10000, loss_seg = 3.6932 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6938 loss_D_t = 0.6928
Iter =     40/ 10000, loss_seg = 2.5674 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6917 loss_D_t = 0.6948
Iter =     50/ 10000, loss_seg = 3.9166 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6823 loss_D_t = 0.7006
Iter =     60/ 10000, loss_seg = 2.2529 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6807 loss_D_t = 0.7044
Iter =     70/ 10000, loss_seg = 2.4650 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6779 loss_D_t = 0.7058
Iter =     80/ 10000, loss_seg = 2.9235 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6677 loss_D_t = 0.6987
Iter =     90/ 10000, loss_seg = 3.0917 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6467 loss_D_t = 0.7003
Iter =    100/ 10000, loss_seg = 2.4357 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6383 loss_D_t = 0.7404
Iter =    110/ 10000, loss_seg = 1.4627 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6210 loss_D_t = 0.7080
Iter =    120/ 10000, loss_seg = 1.1986 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7122 loss_D_t = 0.6538
Iter =    130/ 10000, loss_seg = 2.7473 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5483 loss_D_t = 0.6854
Iter =    140/ 10000, loss_seg = 1.0040 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6121 loss_D_t = 0.6894
Iter =    150/ 10000, loss_seg = 1.1525 loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6556 loss_D_t = 0.6308
Iter =    160/ 10000, loss_seg = 1.5789 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6427 loss_D_t = 0.7016
Iter =    170/ 10000, loss_seg = 1.0231 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6911 loss_D_t = 0.7287
Iter =    180/ 10000, loss_seg = 0.6133 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7151 loss_D_t = 0.7208
Iter =    190/ 10000, loss_seg = 0.6899 loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6221 loss_D_t = 0.6615
Iter =    200/ 10000, loss_seg = 2.9551 loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7532 loss_D_t = 0.6321
Iter =    210/ 10000, loss_seg = 0.5765 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5741 loss_D_t = 0.6658
Iter =    220/ 10000, loss_seg = 0.3706 loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.7255 loss_D_t = 0.6535
Iter =    230/ 10000, loss_seg = 0.8094 loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.7034 loss_D_t = 0.5153
Iter =    240/ 10000, loss_seg = 0.6175 loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.5271 loss_D_t = 0.5833
Iter =    250/ 10000, loss_seg = 0.5013 loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6536 loss_D_t = 0.6968
Iter =    260/ 10000, loss_seg = 0.6901 loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.4881 loss_D_t = 0.7570
Iter =    270/ 10000, loss_seg = 0.6480 loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6145 loss_D_t = 0.5839
Iter =    280/ 10000, loss_seg = 1.4658 loss_adv = 0.0008, loss_weight = 0.0196, loss_D_s = 0.8255 loss_D_t = 0.6335
Iter =    290/ 10000, loss_seg = 1.1338 loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.4488 loss_D_t = 0.7087
Iter =    300/ 10000, loss_seg = 0.5781 loss_adv = 0.0009, loss_weight = 0.0196, loss_D_s = 0.8182 loss_D_t = 0.6119
Iter =    310/ 10000, loss_seg = 0.5439 loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.6059 loss_D_t = 0.5168
Iter =    320/ 10000, loss_seg = 0.6818 loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.4018 loss_D_t = 0.7779
Iter =    330/ 10000, loss_seg = 0.5775 loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.5298 loss_D_t = 0.7689
