time: 14/01/2020 - 16:53:28
###########   TRAINING STARTED  ############
Iter =      0/ 10000, loss_seg = 12.8475 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6928 loss_D_t = 0.6935
Iter =     10/ 10000, loss_seg = 9.4593 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6923 loss_D_t = 0.6939
Iter =     20/ 10000, loss_seg = 3.7056 loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6904 loss_D_t = 0.6959
Iter =     30/ 10000, loss_seg = 9.8418 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6891 loss_D_t = 0.6967
Iter =     40/ 10000, loss_seg = 6.7852 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6816 loss_D_t = 0.7042
Iter =     50/ 10000, loss_seg = 6.5354 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6834 loss_D_t = 0.7008
Iter =     60/ 10000, loss_seg = 3.7871 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6799 loss_D_t = 0.7033
Iter =     70/ 10000, loss_seg = 3.5361 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6816 loss_D_t = 0.6979
Iter =     80/ 10000, loss_seg = 6.4566 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6770 loss_D_t = 0.6815
Iter =     90/ 10000, loss_seg = 2.9257 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.7094 loss_D_t = 0.6679
Iter =    100/ 10000, loss_seg = 2.8072 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6256 loss_D_t = 0.7398
Iter =    110/ 10000, loss_seg = 9.3686 loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.7618 loss_D_t = 0.6023
Iter =    120/ 10000, loss_seg = 2.1351 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.5545 loss_D_t = 0.6743
Iter =    130/ 10000, loss_seg = 1.7199 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.7224 loss_D_t = 0.7459
Iter =    140/ 10000, loss_seg = 1.0957 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.7764 loss_D_t = 0.5523
Iter =    150/ 10000, loss_seg = 1.1892 loss_adv = 0.0006, loss_weight = 0.0199, loss_D_s = 0.5872 loss_D_t = 0.8737
Iter =    160/ 10000, loss_seg = 1.0886 loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7027 loss_D_t = 0.6466
Iter =    170/ 10000, loss_seg = 2.4682 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7227 loss_D_t = 0.6866
Iter =    180/ 10000, loss_seg = 1.3599 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6553 loss_D_t = 0.7374
Iter =    190/ 10000, loss_seg = 1.2215 loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.8051 loss_D_t = 0.5889
Iter =    200/ 10000, loss_seg = 2.8630 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6496 loss_D_t = 0.6799
Iter =    210/ 10000, loss_seg = 1.4339 loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.6173 loss_D_t = 0.8252
Iter =    220/ 10000, loss_seg = 1.4778 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.8808 loss_D_t = 0.5496
Iter =    230/ 10000, loss_seg = 1.2601 loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7643 loss_D_t = 0.7464
Iter =    240/ 10000, loss_seg = 1.2915 loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7270 loss_D_t = 0.6336
Iter =    250/ 10000, loss_seg = 0.4942 loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.4825 loss_D_t = 0.8286
Iter =    260/ 10000, loss_seg = 0.8606 loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.7453 loss_D_t = 0.4265
Iter =    270/ 10000, loss_seg = 1.0831 loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.3422 loss_D_t = 0.7872
Iter =    280/ 10000, loss_seg = 0.8387 loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5275 loss_D_t = 0.5415
Iter =    290/ 10000, loss_seg = 0.9962 loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.8418 loss_D_t = 0.4537
Iter =    300/ 10000, loss_seg = 1.7624 loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6460 loss_D_t = 0.6014
Iter =    310/ 10000, loss_seg = 1.6375 loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.4990 loss_D_t = 0.6423
Iter =    320/ 10000, loss_seg = 0.6339 loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.5504 loss_D_t = 0.5007
Iter =    330/ 10000, loss_seg = 0.9077 loss_adv = 0.0009, loss_weight = 0.0196, loss_D_s = 0.7568 loss_D_t = 0.5091
Iter =    340/ 10000, loss_seg = 2.7253 loss_adv = 0.0008, loss_weight = 0.0196, loss_D_s = 0.7038 loss_D_t = 0.5838
Iter =    350/ 10000, loss_seg = 0.5743 loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6511 loss_D_t = 0.7307
