DateTime: 30/01/2020 - 15:12:13
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =      0/ 48000, loss_seg = 12.3503 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6926 loss_D_t = 0.6938
Iter =     10/ 48000, loss_seg = 12.0322 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6926 loss_D_t = 0.6938
Iter =     20/ 48000, loss_seg = 11.0801 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6923 loss_D_t = 0.6940
Iter =     30/ 48000, loss_seg = 10.1343 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6920 loss_D_t = 0.6945
Iter =     40/ 48000, loss_seg = 8.2563 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6914 loss_D_t = 0.6949
Iter =     50/ 48000, loss_seg = 9.0137 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6907 loss_D_t = 0.6955
Iter =     60/ 48000, loss_seg = 5.9510 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6899 loss_D_t = 0.6963
Iter =     70/ 48000, loss_seg = 5.9874 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6888 loss_D_t = 0.6973
Iter =     80/ 48000, loss_seg = 5.0946 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6874 loss_D_t = 0.6985
Iter =     90/ 48000, loss_seg = 4.8332 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6864 loss_D_t = 0.6997
Iter =    100/ 48000, loss_seg = 3.2439 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6844 loss_D_t = 0.7005
Iter =    110/ 48000, loss_seg = 5.8815 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6835 loss_D_t = 0.7020
Iter =    120/ 48000, loss_seg = 3.8061 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6811 loss_D_t = 0.7041
Iter =    130/ 48000, loss_seg = 3.0807 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6807 loss_D_t = 0.7054
Iter =    140/ 48000, loss_seg = 4.4041 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6772 loss_D_t = 0.7058
Iter =    150/ 48000, loss_seg = 2.4142 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6777 loss_D_t = 0.7036
Iter =    160/ 48000, loss_seg = 3.5051 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6728 loss_D_t = 0.7129
Iter =    170/ 48000, loss_seg = 11.2532 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6765 loss_D_t = 0.7117
