DateTime: 29/01/2020 - 12:27:54
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =      0/ 48000, loss_seg = 12.0812 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6948 loss_D_t = 0.6916
Iter =     10/ 48000, loss_seg = 11.5875 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6949 loss_D_t = 0.6917
Iter =     20/ 48000, loss_seg = 10.4669 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6948 loss_D_t = 0.6916
Iter =     30/ 48000, loss_seg = 9.2452 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6949 loss_D_t = 0.6914
Iter =     40/ 48000, loss_seg = 8.5605 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6950 loss_D_t = 0.6913
Iter =     50/ 48000, loss_seg = 6.1352 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6951 loss_D_t = 0.6912
Iter =     60/ 48000, loss_seg = 4.5309 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6951 loss_D_t = 0.6913
Iter =     70/ 48000, loss_seg = 11.5397 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6951 loss_D_t = 0.6913
Iter =     80/ 48000, loss_seg = 5.0784 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6952 loss_D_t = 0.6912
Iter =     90/ 48000, loss_seg = 5.5736 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6952 loss_D_t = 0.6912
Iter =    100/ 48000, loss_seg = 2.8115 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6952 loss_D_t = 0.6911
Iter =    110/ 48000, loss_seg = 5.9937 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6952 loss_D_t = 0.6913
Iter =    120/ 48000, loss_seg = 2.0962 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6952 loss_D_t = 0.6911
