DateTime: 05/02/2020 - 12:10:30
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  20000/ 48000, loss_seg = 0.1205 loss_rot = 0.0000, loss_adv = 0.0015, loss_weight = 0.0126, loss_D_s = 0.1862 loss_D_t = 0.2272
saving weights...
Iter =  45310/ 48000, loss_seg = 0.2865 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0012, loss_D_s = 0.3193 loss_D_t = 0.6914
Iter =  45320/ 48000, loss_seg = 0.0666 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0012, loss_D_s = 0.2732 loss_D_t = 0.3976
Iter =  45330/ 48000, loss_seg = 0.1806 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0012, loss_D_s = 0.0464 loss_D_t = 0.3144
Iter =  45340/ 48000, loss_seg = 0.1321 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0012, loss_D_s = 0.3214 loss_D_t = 0.2534
Iter =  45350/ 48000, loss_seg = 0.0660 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0012, loss_D_s = 0.1209 loss_D_t = 0.1783
Iter =  45360/ 48000, loss_seg = 0.1874 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0012, loss_D_s = 0.1997 loss_D_t = 0.2046
Iter =  45370/ 48000, loss_seg = 0.1646 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0012, loss_D_s = 0.1032 loss_D_t = 0.2102
Iter =  45380/ 48000, loss_seg = 0.1460 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0012, loss_D_s = 0.0999 loss_D_t = 0.5009
Iter =  45390/ 48000, loss_seg = 0.1132 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0012, loss_D_s = 0.1935 loss_D_t = 0.2403
Iter =  45400/ 48000, loss_seg = 0.2481 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0012, loss_D_s = 0.2859 loss_D_t = 0.2730
Iter =  45410/ 48000, loss_seg = 0.0695 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0012, loss_D_s = 0.2829 loss_D_t = 0.2489
