DateTime: 29/01/2020 - 10:32:08
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =      0/ 32000, loss_seg = 12.2425 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6906 loss_D_t = 0.6958
Iter =     10/ 32000, loss_seg = 13.2951 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6905 loss_D_t = 0.6959
Iter =     20/ 32000, loss_seg = 10.6100 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6898 loss_D_t = 0.6963
Iter =     30/ 32000, loss_seg = 10.9427 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6890 loss_D_t = 0.6972
Iter =     40/ 32000, loss_seg = 7.0485 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6878 loss_D_t = 0.6983
Iter =     50/ 32000, loss_seg = 10.0429 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6868 loss_D_t = 0.6992
Iter =     60/ 32000, loss_seg = 5.2373 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6856 loss_D_t = 0.7003
Iter =     70/ 32000, loss_seg = 4.4056 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6844 loss_D_t = 0.7014
Iter =     80/ 32000, loss_seg = 3.3829 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6840 loss_D_t = 0.7013
Iter =     90/ 32000, loss_seg = 5.6169 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6838 loss_D_t = 0.7028
Iter =    100/ 32000, loss_seg = 3.3825 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6824 loss_D_t = 0.7032
Iter =    110/ 32000, loss_seg = 2.8746 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6824 loss_D_t = 0.7020
Iter =    120/ 32000, loss_seg = 2.5156 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6857 loss_D_t = 0.7002
Iter =    130/ 32000, loss_seg = 1.7097 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6810 loss_D_t = 0.7011
Iter =    140/ 32000, loss_seg = 4.3557 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0199, loss_D_s = 0.6717 loss_D_t = 0.6993
Iter =    150/ 32000, loss_seg = 2.4547 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0199, loss_D_s = 0.6641 loss_D_t = 0.6992
Iter =    160/ 32000, loss_seg = 2.4671 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0199, loss_D_s = 0.6745 loss_D_t = 0.6995
Iter =    170/ 32000, loss_seg = 1.9144 loss_rot = 0.0000, loss_adv = 0.0066, loss_weight = 0.0199, loss_D_s = 0.6586 loss_D_t = 0.7263
Iter =    180/ 32000, loss_seg = 3.5938 loss_rot = 0.0000, loss_adv = 0.0071, loss_weight = 0.0199, loss_D_s = 0.7096 loss_D_t = 0.6973
Iter =    190/ 32000, loss_seg = 1.7539 loss_rot = 0.0000, loss_adv = 0.0077, loss_weight = 0.0199, loss_D_s = 0.6544 loss_D_t = 0.6283
Iter =    200/ 32000, loss_seg = 2.5759 loss_rot = 0.0000, loss_adv = 0.0073, loss_weight = 0.0199, loss_D_s = 0.5632 loss_D_t = 0.6837
Iter =    210/ 32000, loss_seg = 1.9631 loss_rot = 0.0000, loss_adv = 0.0079, loss_weight = 0.0199, loss_D_s = 0.6565 loss_D_t = 0.6367
Iter =    220/ 32000, loss_seg = 3.7508 loss_rot = 0.0000, loss_adv = 0.0081, loss_weight = 0.0199, loss_D_s = 0.6628 loss_D_t = 0.6299
Iter =    230/ 32000, loss_seg = 2.1112 loss_rot = 0.0000, loss_adv = 0.0077, loss_weight = 0.0199, loss_D_s = 0.6744 loss_D_t = 0.6530
Iter =    240/ 32000, loss_seg = 1.3326 loss_rot = 0.0000, loss_adv = 0.0074, loss_weight = 0.0199, loss_D_s = 0.5865 loss_D_t = 0.6681
Iter =    250/ 32000, loss_seg = 3.3940 loss_rot = 0.0000, loss_adv = 0.0077, loss_weight = 0.0199, loss_D_s = 0.5984 loss_D_t = 0.6649
Iter =    260/ 32000, loss_seg = 2.7247 loss_rot = 0.0000, loss_adv = 0.0084, loss_weight = 0.0199, loss_D_s = 0.5388 loss_D_t = 0.6049
Iter =    270/ 32000, loss_seg = 2.1034 loss_rot = 0.0000, loss_adv = 0.0072, loss_weight = 0.0199, loss_D_s = 0.6391 loss_D_t = 0.6952
Iter =    280/ 32000, loss_seg = 1.4951 loss_rot = 0.0000, loss_adv = 0.0079, loss_weight = 0.0199, loss_D_s = 0.7049 loss_D_t = 0.6171
Iter =    290/ 32000, loss_seg = 1.7685 loss_rot = 0.0000, loss_adv = 0.0082, loss_weight = 0.0199, loss_D_s = 0.5540 loss_D_t = 0.6135
Iter =    300/ 32000, loss_seg = 1.6322 loss_rot = 0.0000, loss_adv = 0.0061, loss_weight = 0.0199, loss_D_s = 0.4629 loss_D_t = 0.8441
Iter =    310/ 32000, loss_seg = 2.4669 loss_rot = 0.0000, loss_adv = 0.0088, loss_weight = 0.0199, loss_D_s = 0.8185 loss_D_t = 0.5345
Iter =    320/ 32000, loss_seg = 2.9739 loss_rot = 0.0000, loss_adv = 0.0077, loss_weight = 0.0199, loss_D_s = 0.7487 loss_D_t = 0.6566
Iter =    330/ 32000, loss_seg = 1.2857 loss_rot = 0.0000, loss_adv = 0.0065, loss_weight = 0.0198, loss_D_s = 0.4852 loss_D_t = 0.7526
Iter =    340/ 32000, loss_seg = 1.1778 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0198, loss_D_s = 0.6006 loss_D_t = 0.7187
Iter =    350/ 32000, loss_seg = 1.1527 loss_rot = 0.0000, loss_adv = 0.0078, loss_weight = 0.0198, loss_D_s = 0.6900 loss_D_t = 0.6232
Iter =    360/ 32000, loss_seg = 3.3149 loss_rot = 0.0000, loss_adv = 0.0078, loss_weight = 0.0198, loss_D_s = 0.6936 loss_D_t = 0.6226
Iter =    370/ 32000, loss_seg = 2.5922 loss_rot = 0.0000, loss_adv = 0.0074, loss_weight = 0.0198, loss_D_s = 0.7989 loss_D_t = 0.6517
Iter =    380/ 32000, loss_seg = 0.8736 loss_rot = 0.0000, loss_adv = 0.0074, loss_weight = 0.0198, loss_D_s = 0.5943 loss_D_t = 0.6498
Iter =    390/ 32000, loss_seg = 1.3309 loss_rot = 0.0000, loss_adv = 0.0065, loss_weight = 0.0198, loss_D_s = 0.5522 loss_D_t = 0.8005
Iter =    400/ 32000, loss_seg = 2.0067 loss_rot = 0.0000, loss_adv = 0.0082, loss_weight = 0.0198, loss_D_s = 0.7851 loss_D_t = 0.5858
Iter =    410/ 32000, loss_seg = 4.0670 loss_rot = 0.0000, loss_adv = 0.0075, loss_weight = 0.0198, loss_D_s = 0.8043 loss_D_t = 0.6775
Iter =    420/ 32000, loss_seg = 1.5149 loss_rot = 0.0000, loss_adv = 0.0072, loss_weight = 0.0198, loss_D_s = 0.5197 loss_D_t = 0.6741
Iter =    430/ 32000, loss_seg = 4.1342 loss_rot = 0.0000, loss_adv = 0.0064, loss_weight = 0.0198, loss_D_s = 0.6274 loss_D_t = 0.7634
Iter =    440/ 32000, loss_seg = 1.0600 loss_rot = 0.0000, loss_adv = 0.0083, loss_weight = 0.0198, loss_D_s = 0.8048 loss_D_t = 0.5699
Iter =    450/ 32000, loss_seg = 1.9010 loss_rot = 0.0000, loss_adv = 0.0070, loss_weight = 0.0198, loss_D_s = 0.7145 loss_D_t = 0.6825
Iter =    460/ 32000, loss_seg = 0.6170 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0198, loss_D_s = 0.5752 loss_D_t = 0.6940
Iter =    470/ 32000, loss_seg = 1.5579 loss_rot = 0.0000, loss_adv = 0.0068, loss_weight = 0.0198, loss_D_s = 0.6139 loss_D_t = 0.7047
Iter =    480/ 32000, loss_seg = 1.0177 loss_rot = 0.0000, loss_adv = 0.0079, loss_weight = 0.0198, loss_D_s = 0.6488 loss_D_t = 0.6005
Iter =    490/ 32000, loss_seg = 1.0117 loss_rot = 0.0000, loss_adv = 0.0066, loss_weight = 0.0198, loss_D_s = 0.6690 loss_D_t = 0.7422
Iter =    500/ 32000, loss_seg = 3.1431 loss_rot = 0.0000, loss_adv = 0.0075, loss_weight = 0.0198, loss_D_s = 0.6644 loss_D_t = 0.6599
Iter =    510/ 32000, loss_seg = 1.0019 loss_rot = 0.0000, loss_adv = 0.0075, loss_weight = 0.0198, loss_D_s = 0.6647 loss_D_t = 0.6663
Iter =    520/ 32000, loss_seg = 1.3873 loss_rot = 0.0000, loss_adv = 0.0086, loss_weight = 0.0198, loss_D_s = 0.5930 loss_D_t = 0.5496
Iter =    530/ 32000, loss_seg = 0.7337 loss_rot = 0.0000, loss_adv = 0.0089, loss_weight = 0.0198, loss_D_s = 0.6108 loss_D_t = 0.5731
Iter =    540/ 32000, loss_seg = 0.6509 loss_rot = 0.0000, loss_adv = 0.0088, loss_weight = 0.0197, loss_D_s = 0.6789 loss_D_t = 0.5972
Iter =    550/ 32000, loss_seg = 1.4269 loss_rot = 0.0000, loss_adv = 0.0081, loss_weight = 0.0197, loss_D_s = 0.7658 loss_D_t = 0.6280
Iter =    560/ 32000, loss_seg = 1.6039 loss_rot = 0.0000, loss_adv = 0.0080, loss_weight = 0.0197, loss_D_s = 0.6090 loss_D_t = 0.6233
Iter =    570/ 32000, loss_seg = 1.0122 loss_rot = 0.0000, loss_adv = 0.0063, loss_weight = 0.0197, loss_D_s = 0.4178 loss_D_t = 0.7793
Iter =    580/ 32000, loss_seg = 0.7768 loss_rot = 0.0000, loss_adv = 0.0126, loss_weight = 0.0197, loss_D_s = 0.6461 loss_D_t = 0.3669
Iter =    590/ 32000, loss_seg = 2.3409 loss_rot = 0.0000, loss_adv = 0.0073, loss_weight = 0.0197, loss_D_s = 0.5881 loss_D_t = 0.7137
Iter =    600/ 32000, loss_seg = 0.6674 loss_rot = 0.0000, loss_adv = 0.0072, loss_weight = 0.0197, loss_D_s = 0.4544 loss_D_t = 0.6807
Iter =    610/ 32000, loss_seg = 0.9859 loss_rot = 0.0000, loss_adv = 0.0075, loss_weight = 0.0197, loss_D_s = 0.5266 loss_D_t = 0.7983
Iter =    620/ 32000, loss_seg = 3.4951 loss_rot = 0.0000, loss_adv = 0.0095, loss_weight = 0.0197, loss_D_s = 0.6707 loss_D_t = 0.5017
Iter =    630/ 32000, loss_seg = 1.3931 loss_rot = 0.0000, loss_adv = 0.0093, loss_weight = 0.0197, loss_D_s = 0.7606 loss_D_t = 0.5204
Iter =    640/ 32000, loss_seg = 0.7249 loss_rot = 0.0000, loss_adv = 0.0069, loss_weight = 0.0197, loss_D_s = 0.5193 loss_D_t = 0.7884
Iter =    650/ 32000, loss_seg = 1.0440 loss_rot = 0.0000, loss_adv = 0.0089, loss_weight = 0.0197, loss_D_s = 0.6009 loss_D_t = 0.5696
Iter =    660/ 32000, loss_seg = 0.4605 loss_rot = 0.0000, loss_adv = 0.0097, loss_weight = 0.0197, loss_D_s = 0.3546 loss_D_t = 0.5171
Iter =    670/ 32000, loss_seg = 0.8615 loss_rot = 0.0000, loss_adv = 0.0142, loss_weight = 0.0197, loss_D_s = 0.8686 loss_D_t = 0.3443
Iter =    680/ 32000, loss_seg = 0.6352 loss_rot = 0.0000, loss_adv = 0.0095, loss_weight = 0.0197, loss_D_s = 0.6843 loss_D_t = 0.5280
Iter =    690/ 32000, loss_seg = 1.8960 loss_rot = 0.0000, loss_adv = 0.0070, loss_weight = 0.0197, loss_D_s = 0.2874 loss_D_t = 0.7505
Iter =    700/ 32000, loss_seg = 0.4490 loss_rot = 0.0000, loss_adv = 0.0116, loss_weight = 0.0197, loss_D_s = 0.5530 loss_D_t = 0.4319
Iter =    710/ 32000, loss_seg = 1.7272 loss_rot = 0.0000, loss_adv = 0.0085, loss_weight = 0.0197, loss_D_s = 0.8782 loss_D_t = 0.6678
Iter =    720/ 32000, loss_seg = 0.4448 loss_rot = 0.0000, loss_adv = 0.0097, loss_weight = 0.0197, loss_D_s = 0.5066 loss_D_t = 0.5588
Iter =    730/ 32000, loss_seg = 1.3773 loss_rot = 0.0000, loss_adv = 0.0116, loss_weight = 0.0196, loss_D_s = 0.8006 loss_D_t = 0.4543
Iter =    740/ 32000, loss_seg = 0.8858 loss_rot = 0.0000, loss_adv = 0.0092, loss_weight = 0.0196, loss_D_s = 0.5844 loss_D_t = 0.6392
Iter =    750/ 32000, loss_seg = 1.0720 loss_rot = 0.0000, loss_adv = 0.0070, loss_weight = 0.0196, loss_D_s = 0.6228 loss_D_t = 0.7446
Iter =    760/ 32000, loss_seg = 0.9073 loss_rot = 0.0000, loss_adv = 0.0070, loss_weight = 0.0196, loss_D_s = 0.4305 loss_D_t = 0.8526
Iter =    770/ 32000, loss_seg = 0.5315 loss_rot = 0.0000, loss_adv = 0.0116, loss_weight = 0.0196, loss_D_s = 0.4872 loss_D_t = 0.4912
Iter =    780/ 32000, loss_seg = 0.5286 loss_rot = 0.0000, loss_adv = 0.0090, loss_weight = 0.0196, loss_D_s = 0.4543 loss_D_t = 0.5414
Iter =    790/ 32000, loss_seg = 0.4600 loss_rot = 0.0000, loss_adv = 0.0095, loss_weight = 0.0196, loss_D_s = 0.5263 loss_D_t = 0.5069
Iter =    800/ 32000, loss_seg = 0.3816 loss_rot = 0.0000, loss_adv = 0.0115, loss_weight = 0.0196, loss_D_s = 0.5395 loss_D_t = 0.4187
Iter =    810/ 32000, loss_seg = 0.4420 loss_rot = 0.0000, loss_adv = 0.0118, loss_weight = 0.0196, loss_D_s = 0.6237 loss_D_t = 0.4409
Iter =    820/ 32000, loss_seg = 0.4721 loss_rot = 0.0000, loss_adv = 0.0105, loss_weight = 0.0196, loss_D_s = 0.5367 loss_D_t = 0.5269
Iter =    830/ 32000, loss_seg = 0.5375 loss_rot = 0.0000, loss_adv = 0.0079, loss_weight = 0.0196, loss_D_s = 0.3797 loss_D_t = 0.6734
Iter =    840/ 32000, loss_seg = 0.4888 loss_rot = 0.0000, loss_adv = 0.0126, loss_weight = 0.0196, loss_D_s = 0.6134 loss_D_t = 0.4323
Iter =    850/ 32000, loss_seg = 0.3519 loss_rot = 0.0000, loss_adv = 0.0127, loss_weight = 0.0196, loss_D_s = 0.6949 loss_D_t = 0.4429
Iter =    860/ 32000, loss_seg = 0.3941 loss_rot = 0.0000, loss_adv = 0.0110, loss_weight = 0.0196, loss_D_s = 0.3405 loss_D_t = 0.4967
Iter =    870/ 32000, loss_seg = 0.4824 loss_rot = 0.0000, loss_adv = 0.0129, loss_weight = 0.0196, loss_D_s = 0.3460 loss_D_t = 0.5433
Iter =    880/ 32000, loss_seg = 0.6521 loss_rot = 0.0000, loss_adv = 0.0108, loss_weight = 0.0196, loss_D_s = 0.6838 loss_D_t = 0.4855
Iter =    890/ 32000, loss_seg = 0.7654 loss_rot = 0.0000, loss_adv = 0.0071, loss_weight = 0.0196, loss_D_s = 0.4755 loss_D_t = 0.7718
Iter =    900/ 32000, loss_seg = 1.7135 loss_rot = 0.0000, loss_adv = 0.0099, loss_weight = 0.0196, loss_D_s = 0.7164 loss_D_t = 0.5364
Iter =    910/ 32000, loss_seg = 0.7033 loss_rot = 0.0000, loss_adv = 0.0120, loss_weight = 0.0196, loss_D_s = 0.8024 loss_D_t = 0.4371
Iter =    920/ 32000, loss_seg = 0.8646 loss_rot = 0.0000, loss_adv = 0.0089, loss_weight = 0.0196, loss_D_s = 0.4504 loss_D_t = 0.5767
Iter =    930/ 32000, loss_seg = 1.0959 loss_rot = 0.0000, loss_adv = 0.0088, loss_weight = 0.0195, loss_D_s = 0.6404 loss_D_t = 0.5762
