DateTime: 31/01/2020 - 21:53:58
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =      0/ 48000, loss_seg = 12.4160 loss_rot = 2.5668, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6967 loss_D_t = 0.6896
Iter =     10/ 48000, loss_seg = 10.8914 loss_rot = 2.8186, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6964 loss_D_t = 0.6898
Iter =     20/ 48000, loss_seg = 12.3056 loss_rot = 3.0188, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6961 loss_D_t = 0.6901
Iter =     30/ 48000, loss_seg = 10.7833 loss_rot = 2.7880, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6955 loss_D_t = 0.6909
Iter =     40/ 48000, loss_seg = 9.0865 loss_rot = 2.6033, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6944 loss_D_t = 0.6919
Iter =     50/ 48000, loss_seg = 7.7295 loss_rot = 2.9349, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6936 loss_D_t = 0.6928
Iter =     60/ 48000, loss_seg = 6.0124 loss_rot = 3.0393, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6917 loss_D_t = 0.6942
Iter =     70/ 48000, loss_seg = 9.7894 loss_rot = 2.8238, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6897 loss_D_t = 0.6958
Iter =     80/ 48000, loss_seg = 4.5543 loss_rot = 2.9734, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6889 loss_D_t = 0.6969
Iter =     90/ 48000, loss_seg = 8.7733 loss_rot = 2.7814, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6886 loss_D_t = 0.6978
Iter =    100/ 48000, loss_seg = 3.9049 loss_rot = 2.6787, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6867 loss_D_t = 0.6975
Iter =    110/ 48000, loss_seg = 5.7664 loss_rot = 2.7101, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6862 loss_D_t = 0.6982
Iter =    120/ 48000, loss_seg = 5.3983 loss_rot = 2.8101, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6863 loss_D_t = 0.7019
Iter =    130/ 48000, loss_seg = 8.0874 loss_rot = 2.6710, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6828 loss_D_t = 0.7031
Iter =    140/ 48000, loss_seg = 3.5245 loss_rot = 2.9501, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6763 loss_D_t = 0.7047
Iter =    150/ 48000, loss_seg = 8.7372 loss_rot = 2.3731, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6716 loss_D_t = 0.7026
Iter =    160/ 48000, loss_seg = 3.6096 loss_rot = 2.8335, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6775 loss_D_t = 0.6929
Iter =    170/ 48000, loss_seg = 4.0469 loss_rot = 2.6314, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6847 loss_D_t = 0.7155
Iter =    180/ 48000, loss_seg = 2.5152 loss_rot = 2.4392, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6777 loss_D_t = 0.7018
Iter =    190/ 48000, loss_seg = 1.9536 loss_rot = 2.4515, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6816 loss_D_t = 0.6972
Iter =    200/ 48000, loss_seg = 3.5999 loss_rot = 2.5903, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6521 loss_D_t = 0.7041
Iter =    210/ 48000, loss_seg = 2.5419 loss_rot = 2.6324, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6660 loss_D_t = 0.6755
Iter =    220/ 48000, loss_seg = 3.1455 loss_rot = 2.2103, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6876 loss_D_t = 0.7009
Iter =    230/ 48000, loss_seg = 4.6629 loss_rot = 2.5370, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6846 loss_D_t = 0.6770
Iter =    240/ 48000, loss_seg = 2.0674 loss_rot = 2.2646, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6548 loss_D_t = 0.6864
Iter =    250/ 48000, loss_seg = 2.3757 loss_rot = 2.1977, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6476 loss_D_t = 0.7035
Iter =    260/ 48000, loss_seg = 3.4618 loss_rot = 2.2604, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6817 loss_D_t = 0.6615
Iter =    270/ 48000, loss_seg = 2.2880 loss_rot = 2.1052, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6339 loss_D_t = 0.7114
Iter =    280/ 48000, loss_seg = 3.2646 loss_rot = 2.3604, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.7473 loss_D_t = 0.6206
Iter =    290/ 48000, loss_seg = 1.9731 loss_rot = 2.0509, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6481 loss_D_t = 0.6544
Iter =    300/ 48000, loss_seg = 2.0100 loss_rot = 1.5571, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.7094 loss_D_t = 0.6740
