DateTime: 29/01/2020 - 23:45:09
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =      0/ 48000, loss_seg = 13.0360 loss_rot = 3.4120, loss_adv = 0.0070, loss_weight = 0.0200, loss_D_s = 0.6962 loss_D_t = 0.6901
Iter =     10/ 48000, loss_seg = 10.6992 loss_rot = 4.7965, loss_adv = 0.0070, loss_weight = 0.0200, loss_D_s = 0.6960 loss_D_t = 0.6904
Iter =     20/ 48000, loss_seg = 7.1382 loss_rot = 3.3544, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6950 loss_D_t = 0.6913
Iter =     30/ 48000, loss_seg = 3.5904 loss_rot = 4.2874, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6940 loss_D_t = 0.6924
Iter =     40/ 48000, loss_seg = 3.4948 loss_rot = 3.1676, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6934 loss_D_t = 0.6929
Iter =     50/ 48000, loss_seg = 2.9653 loss_rot = 2.1604, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6920 loss_D_t = 0.6940
Iter =     60/ 48000, loss_seg = 4.5517 loss_rot = 3.9056, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6906 loss_D_t = 0.6956
Iter =     70/ 48000, loss_seg = 2.6247 loss_rot = 2.7225, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6886 loss_D_t = 0.6971
Iter =     80/ 48000, loss_seg = 6.0957 loss_rot = 2.7301, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6854 loss_D_t = 0.6993
Iter =     90/ 48000, loss_seg = 2.1073 loss_rot = 2.8856, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6839 loss_D_t = 0.7022
Iter =    100/ 48000, loss_seg = 3.6385 loss_rot = 2.5674, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6810 loss_D_t = 0.7040
Iter =    110/ 48000, loss_seg = 5.2991 loss_rot = 3.0174, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6763 loss_D_t = 0.7053
Iter =    120/ 48000, loss_seg = 1.4244 loss_rot = 2.6190, loss_adv = 0.0067, loss_weight = 0.0200, loss_D_s = 0.6647 loss_D_t = 0.7142
Iter =    130/ 48000, loss_seg = 3.6612 loss_rot = 2.9126, loss_adv = 0.0068, loss_weight = 0.0200, loss_D_s = 0.6772 loss_D_t = 0.7053
Iter =    140/ 48000, loss_seg = 1.1502 loss_rot = 2.9209, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6711 loss_D_t = 0.6991
Iter =    150/ 48000, loss_seg = 2.8772 loss_rot = 2.8975, loss_adv = 0.0069, loss_weight = 0.0200, loss_D_s = 0.6709 loss_D_t = 0.6979
Iter =    160/ 48000, loss_seg = 1.8324 loss_rot = 2.8854, loss_adv = 0.0067, loss_weight = 0.0200, loss_D_s = 0.6554 loss_D_t = 0.7121
Iter =    170/ 48000, loss_seg = 1.3377 loss_rot = 2.9143, loss_adv = 0.0067, loss_weight = 0.0200, loss_D_s = 0.6603 loss_D_t = 0.7148
Iter =    180/ 48000, loss_seg = 2.4125 loss_rot = 2.5697, loss_adv = 0.0065, loss_weight = 0.0200, loss_D_s = 0.6162 loss_D_t = 0.7412
Iter =    190/ 48000, loss_seg = 4.5210 loss_rot = 2.6012, loss_adv = 0.0071, loss_weight = 0.0200, loss_D_s = 0.6840 loss_D_t = 0.6783
Iter =    200/ 48000, loss_seg = 2.4659 loss_rot = 2.6686, loss_adv = 0.0074, loss_weight = 0.0199, loss_D_s = 0.6292 loss_D_t = 0.6505
Iter =    210/ 48000, loss_seg = 2.0063 loss_rot = 2.2029, loss_adv = 0.0065, loss_weight = 0.0199, loss_D_s = 0.6240 loss_D_t = 0.7475
Iter =    220/ 48000, loss_seg = 2.0711 loss_rot = 3.1789, loss_adv = 0.0074, loss_weight = 0.0199, loss_D_s = 0.6983 loss_D_t = 0.6760
Iter =    230/ 48000, loss_seg = 1.9594 loss_rot = 2.7697, loss_adv = 0.0072, loss_weight = 0.0199, loss_D_s = 0.6163 loss_D_t = 0.6697
Iter =    240/ 48000, loss_seg = 1.6600 loss_rot = 2.9131, loss_adv = 0.0065, loss_weight = 0.0199, loss_D_s = 0.5966 loss_D_t = 0.7703
Iter =    250/ 48000, loss_seg = 1.0342 loss_rot = 2.6772, loss_adv = 0.0074, loss_weight = 0.0199, loss_D_s = 0.6722 loss_D_t = 0.6994
Iter =    260/ 48000, loss_seg = 0.9794 loss_rot = 2.5830, loss_adv = 0.0092, loss_weight = 0.0199, loss_D_s = 0.5964 loss_D_t = 0.5361
Iter =    270/ 48000, loss_seg = 0.8261 loss_rot = 2.6955, loss_adv = 0.0075, loss_weight = 0.0199, loss_D_s = 0.5537 loss_D_t = 0.7027
Iter =    280/ 48000, loss_seg = 0.7760 loss_rot = 2.9281, loss_adv = 0.0083, loss_weight = 0.0199, loss_D_s = 0.7056 loss_D_t = 0.6148
Iter =    290/ 48000, loss_seg = 0.7848 loss_rot = 2.8341, loss_adv = 0.0090, loss_weight = 0.0199, loss_D_s = 0.6331 loss_D_t = 0.5499
Iter =    300/ 48000, loss_seg = 0.5577 loss_rot = 2.6711, loss_adv = 0.0080, loss_weight = 0.0199, loss_D_s = 0.5505 loss_D_t = 0.6558
Iter =    310/ 48000, loss_seg = 1.3380 loss_rot = 2.9456, loss_adv = 0.0086, loss_weight = 0.0199, loss_D_s = 0.7165 loss_D_t = 0.5659
Iter =    320/ 48000, loss_seg = 1.8415 loss_rot = 2.8782, loss_adv = 0.0065, loss_weight = 0.0199, loss_D_s = 0.5259 loss_D_t = 0.7857
Iter =    330/ 48000, loss_seg = 1.2172 loss_rot = 2.7613, loss_adv = 0.0089, loss_weight = 0.0199, loss_D_s = 0.6229 loss_D_t = 0.5429
Iter =    340/ 48000, loss_seg = 1.5144 loss_rot = 2.6964, loss_adv = 0.0064, loss_weight = 0.0199, loss_D_s = 0.7175 loss_D_t = 0.7860
