DateTime: 05/02/2020 - 12:13:33
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  20010/ 48000, loss_seg = 0.1710 loss_rot = 0.3345, loss_adv = 0.0002, loss_weight = 0.0124, loss_D_s = 0.5203 loss_D_t = 0.5060
Iter =  20020/ 48000, loss_seg = 0.2585 loss_rot = 1.0927, loss_adv = 0.0001, loss_weight = 0.0124, loss_D_s = 0.3830 loss_D_t = 0.6056
Iter =  20030/ 48000, loss_seg = 0.1194 loss_rot = 0.2460, loss_adv = 0.0001, loss_weight = 0.0124, loss_D_s = 0.5172 loss_D_t = 0.4933
Iter =  20040/ 48000, loss_seg = 0.1220 loss_rot = 0.0958, loss_adv = 0.0002, loss_weight = 0.0124, loss_D_s = 0.4129 loss_D_t = 0.6644
Iter =  20050/ 48000, loss_seg = 0.1757 loss_rot = 0.0431, loss_adv = 0.0002, loss_weight = 0.0124, loss_D_s = 0.4591 loss_D_t = 0.7426
Iter =  20060/ 48000, loss_seg = 0.1720 loss_rot = 0.0597, loss_adv = 0.0001, loss_weight = 0.0124, loss_D_s = 0.4792 loss_D_t = 0.4283
Iter =  20070/ 48000, loss_seg = 0.1369 loss_rot = 0.1118, loss_adv = 0.0001, loss_weight = 0.0124, loss_D_s = 0.4628 loss_D_t = 0.4830
Iter =  20080/ 48000, loss_seg = 0.0922 loss_rot = 0.0905, loss_adv = 0.0001, loss_weight = 0.0124, loss_D_s = 0.4082 loss_D_t = 0.5680
Iter =  20090/ 48000, loss_seg = 0.5354 loss_rot = 0.1159, loss_adv = 0.0002, loss_weight = 0.0124, loss_D_s = 0.3296 loss_D_t = 0.4723
Iter =  20100/ 48000, loss_seg = 0.5835 loss_rot = 0.0294, loss_adv = 0.0002, loss_weight = 0.0123, loss_D_s = 0.3713 loss_D_t = 0.7088
Iter =  20110/ 48000, loss_seg = 0.1266 loss_rot = 0.0047, loss_adv = 0.0002, loss_weight = 0.0123, loss_D_s = 0.5279 loss_D_t = 0.4462
Iter =  20120/ 48000, loss_seg = 0.1384 loss_rot = 0.0056, loss_adv = 0.0002, loss_weight = 0.0123, loss_D_s = 0.3711 loss_D_t = 0.5909
Iter =  20130/ 48000, loss_seg = 0.1316 loss_rot = 0.0067, loss_adv = 0.0002, loss_weight = 0.0123, loss_D_s = 0.4220 loss_D_t = 0.4443
