DateTime: 27/01/2020 - 14:43:53
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =      0/ 32000, loss_seg = 11.8699 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6882 loss_D_t = 0.6979
Iter =     10/ 32000, loss_seg = 12.3093 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6882 loss_D_t = 0.6982
Iter =     20/ 32000, loss_seg = 10.0624 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6888 loss_D_t = 0.6977
Iter =     30/ 32000, loss_seg = 10.9617 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6889 loss_D_t = 0.6973
Iter =     40/ 32000, loss_seg = 8.2069 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6898 loss_D_t = 0.6966
Iter =     50/ 32000, loss_seg = 8.7130 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6905 loss_D_t = 0.6954
Iter =     60/ 32000, loss_seg = 5.8493 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6916 loss_D_t = 0.6944
Iter =     70/ 32000, loss_seg = 4.7556 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6926 loss_D_t = 0.6938
Iter =     80/ 32000, loss_seg = 7.1825 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6924 loss_D_t = 0.6943
Iter =     90/ 32000, loss_seg = 4.4470 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6927 loss_D_t = 0.6939
Iter =    100/ 32000, loss_seg = 2.3141 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6925 loss_D_t = 0.6939
Iter =    110/ 32000, loss_seg = 4.0608 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6917 loss_D_t = 0.6953
Iter =    120/ 32000, loss_seg = 6.3098 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6926 loss_D_t = 0.6943
Iter =    130/ 32000, loss_seg = 2.8257 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6935 loss_D_t = 0.6929
Iter =    140/ 32000, loss_seg = 3.7089 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6936 loss_D_t = 0.6923
Iter =    150/ 32000, loss_seg = 2.7788 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6927 loss_D_t = 0.6931
Iter =    160/ 32000, loss_seg = 7.4692 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6913 loss_D_t = 0.6958
Iter =    170/ 32000, loss_seg = 3.3567 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6885 loss_D_t = 0.6965
Iter =    180/ 32000, loss_seg = 6.6418 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6908 loss_D_t = 0.6961
Iter =    190/ 32000, loss_seg = 3.6986 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6972 loss_D_t = 0.6944
Iter =    200/ 32000, loss_seg = 5.1226 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6881 loss_D_t = 0.6928
Iter =    210/ 32000, loss_seg = 6.0018 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6846 loss_D_t = 0.7007
Iter =    220/ 32000, loss_seg = 2.2653 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6973 loss_D_t = 0.6897
Iter =    230/ 32000, loss_seg = 2.6343 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6847 loss_D_t = 0.6924
Iter =    240/ 32000, loss_seg = 2.3773 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.6585 loss_D_t = 0.7415
Iter =    250/ 32000, loss_seg = 3.0435 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6884 loss_D_t = 0.6785
Iter =    260/ 32000, loss_seg = 3.2535 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6976 loss_D_t = 0.6586
Iter =    270/ 32000, loss_seg = 2.1057 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7156 loss_D_t = 0.6659
Iter =    280/ 32000, loss_seg = 3.6507 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7404 loss_D_t = 0.6626
Iter =    290/ 32000, loss_seg = 3.0239 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6921 loss_D_t = 0.6887
Iter =    300/ 32000, loss_seg = 4.2320 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6021 loss_D_t = 0.7044
Iter =    310/ 32000, loss_seg = 1.8360 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7050 loss_D_t = 0.6843
Iter =    320/ 32000, loss_seg = 4.7243 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7100 loss_D_t = 0.6514
Iter =    330/ 32000, loss_seg = 2.0584 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7389 loss_D_t = 0.6319
Iter =    340/ 32000, loss_seg = 1.9160 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6705 loss_D_t = 0.7191
Iter =    350/ 32000, loss_seg = 3.3058 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7555 loss_D_t = 0.6447
Iter =    360/ 32000, loss_seg = 1.9757 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6544 loss_D_t = 0.6639
Iter =    370/ 32000, loss_seg = 1.3811 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6601 loss_D_t = 0.7015
Iter =    380/ 32000, loss_seg = 2.1929 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7222 loss_D_t = 0.6650
Iter =    390/ 32000, loss_seg = 1.9973 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7323 loss_D_t = 0.7024
Iter =    400/ 32000, loss_seg = 1.9473 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6230 loss_D_t = 0.7081
Iter =    410/ 32000, loss_seg = 2.6396 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.7046 loss_D_t = 0.6635
Iter =    420/ 32000, loss_seg = 2.8656 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6361 loss_D_t = 0.6967
Iter =    430/ 32000, loss_seg = 2.1172 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6698 loss_D_t = 0.5812
Iter =    440/ 32000, loss_seg = 5.7107 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6343 loss_D_t = 0.7212
Iter =    450/ 32000, loss_seg = 2.6599 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.5855 loss_D_t = 0.6617
Iter =    460/ 32000, loss_seg = 1.9877 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6819 loss_D_t = 0.7295
Iter =    470/ 32000, loss_seg = 4.1611 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6896 loss_D_t = 0.7154
Iter =    480/ 32000, loss_seg = 2.4046 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.7405 loss_D_t = 0.6005
Iter =    490/ 32000, loss_seg = 5.4558 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6637 loss_D_t = 0.6970
Iter =    500/ 32000, loss_seg = 1.3693 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6864 loss_D_t = 0.6540
Iter =    510/ 32000, loss_seg = 2.5201 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.7359 loss_D_t = 0.7413
Iter =    520/ 32000, loss_seg = 1.5737 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6303 loss_D_t = 0.6845
Iter =    530/ 32000, loss_seg = 0.9029 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6849 loss_D_t = 0.7189
Iter =    540/ 32000, loss_seg = 2.8957 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.5022 loss_D_t = 0.6054
Iter =    550/ 32000, loss_seg = 0.9029 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.7547 loss_D_t = 0.7314
Iter =    560/ 32000, loss_seg = 1.6328 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6722 loss_D_t = 0.6422
Iter =    570/ 32000, loss_seg = 1.7935 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.7468 loss_D_t = 0.6298
Iter =    580/ 32000, loss_seg = 1.1306 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0197, loss_D_s = 0.5886 loss_D_t = 0.7898
Iter =    590/ 32000, loss_seg = 1.8434 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6772 loss_D_t = 0.6925
Iter =    600/ 32000, loss_seg = 0.9400 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0196, loss_D_s = 0.6637 loss_D_t = 0.6640
Iter =    610/ 32000, loss_seg = 4.2078 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6990 loss_D_t = 0.7294
Iter =    620/ 32000, loss_seg = 0.9350 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0196, loss_D_s = 0.7060 loss_D_t = 0.6136
Iter =    630/ 32000, loss_seg = 1.0559 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.5901 loss_D_t = 0.7411
Iter =    640/ 32000, loss_seg = 0.7345 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6649 loss_D_t = 0.7120
Iter =    650/ 32000, loss_seg = 2.1167 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6925 loss_D_t = 0.6396
Iter =    660/ 32000, loss_seg = 1.0361 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0196, loss_D_s = 0.6590 loss_D_t = 0.5804
Iter =    670/ 32000, loss_seg = 0.9034 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0196, loss_D_s = 0.7056 loss_D_t = 0.6354
Iter =    680/ 32000, loss_seg = 2.1674 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6687 loss_D_t = 0.6762
Iter =    690/ 32000, loss_seg = 0.9616 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6406 loss_D_t = 0.6872
Iter =    700/ 32000, loss_seg = 0.9509 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6741 loss_D_t = 0.7056
Iter =    710/ 32000, loss_seg = 1.8613 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.7626 loss_D_t = 0.7130
Iter =    720/ 32000, loss_seg = 1.6723 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.7982 loss_D_t = 0.7347
Iter =    730/ 32000, loss_seg = 4.6734 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.7449 loss_D_t = 0.6782
Iter =    740/ 32000, loss_seg = 0.8304 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.5968 loss_D_t = 0.7941
Iter =    750/ 32000, loss_seg = 1.2363 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0196, loss_D_s = 0.5331 loss_D_t = 0.7513
Iter =    760/ 32000, loss_seg = 1.4480 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0196, loss_D_s = 0.7789 loss_D_t = 0.6371
Iter =    770/ 32000, loss_seg = 1.3649 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.7389 loss_D_t = 0.6103
Iter =    780/ 32000, loss_seg = 1.2979 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.6212 loss_D_t = 0.6875
Iter =    790/ 32000, loss_seg = 0.8824 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0195, loss_D_s = 0.7310 loss_D_t = 0.6434
Iter =    800/ 32000, loss_seg = 0.5361 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.7613 loss_D_t = 0.7063
Iter =    810/ 32000, loss_seg = 0.9853 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.6937 loss_D_t = 0.6006
