DateTime: 27/01/2020 - 14:23:32
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =      0/ 48000, loss_seg = 13.6928 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6894 loss_D_t = 0.6968
Iter =     10/ 48000, loss_seg = 14.1216 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6894 loss_D_t = 0.6970
Iter =     20/ 48000, loss_seg = 12.7504 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6891 loss_D_t = 0.6972
Iter =     30/ 48000, loss_seg = 12.0602 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6885 loss_D_t = 0.6977
Iter =     40/ 48000, loss_seg = 11.1528 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6877 loss_D_t = 0.6984
Iter =     50/ 48000, loss_seg = 9.3696 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6866 loss_D_t = 0.6992
Iter =     60/ 48000, loss_seg = 8.5141 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6847 loss_D_t = 0.7009
Iter =     70/ 48000, loss_seg = 6.7950 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6828 loss_D_t = 0.7025
Iter =     80/ 48000, loss_seg = 4.6921 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6798 loss_D_t = 0.7056
Iter =     90/ 48000, loss_seg = 9.4008 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6798 loss_D_t = 0.7063
Iter =    100/ 48000, loss_seg = 5.1385 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6793 loss_D_t = 0.7068
Iter =    110/ 48000, loss_seg = 7.9765 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6797 loss_D_t = 0.7054
Iter =    120/ 48000, loss_seg = 4.0584 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6778 loss_D_t = 0.7061
Iter =    130/ 48000, loss_seg = 5.6270 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6785 loss_D_t = 0.7061
Iter =    140/ 48000, loss_seg = 5.6100 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6788 loss_D_t = 0.7057
Iter =    150/ 48000, loss_seg = 4.4754 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6794 loss_D_t = 0.7040
Iter =    160/ 48000, loss_seg = 5.0258 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6806 loss_D_t = 0.7003
Iter =    170/ 48000, loss_seg = 4.8886 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6780 loss_D_t = 0.6999
Iter =    180/ 48000, loss_seg = 5.1007 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6756 loss_D_t = 0.7063
Iter =    190/ 48000, loss_seg = 2.5609 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6727 loss_D_t = 0.6939
